"No.","OCUPACION","OCUPACION.NOMBRE","SALARIO"
"1",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","5063159.60"
"2",9152,"Guardianes y porteros ","938527.70"
"3",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4469290.90"
"4",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","5263201.70"
"5",1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","6297414.40"
"6",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","5034275.30"
"7",2227,"Médico Especialista","5561419.50"
"8",2227,"Médico Especialista","4533470.00"
"9",2227,"Médico Especialista","5226250.00"
"10",7125,"Encargado de Mantenimiento de Edificios","765537.70"
"11",1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","5714247.60"
"12",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4835780.89"
"13",2227,"Médico Especialista","4219739.35"
"14",2227,"Médico Especialista","4051884.70"
"15",5132,"Ayudantes de enfermería","961590.00"
"16",1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","2411612.00"
"17",1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","7409705.50"
"18",2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","4588506.10"
"19",2222,"Odontólogos","2229749.70"
"20",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","23461906.34"
"21",2227,"Médico Especialista","5217894.50"
"22",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","6198846.10"
"23",2227,"Médico Especialista","7701234.37"
"24",2222,"Odontólogos","2998225.09"
"25",2227,"Médico Especialista","5695000.40"
"26",3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","849410.00"
"27",9155,"Ayudante de cocina","595366.75"
"28",2227,"Médico Especialista","7155937.40"
"29",2222,"Odontólogos","1882456.30"
"30",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4600120.60"
"31",2222,"Odontólogos","1340714.40"
"32",2461,"Sacerdotes de distintas religiones, monjas y monjes","727461.00"
"33",2227,"Médico Especialista","4024698.20"
"34",2222,"Odontólogos","2892500.40"
"35",3226,"Auxiliares de enfermería","549918.75"
"36",3226,"Auxiliares de enfermería","1610588.40"
"37",2445,"Psicólogos","3589216.70"
"38",2222,"Odontólogos","1879695.00"
"39",8315,"Maquinistas de locomotoras, guardafrenos, guardagujas y agentes de maniobras","2833377.30"
"40",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","11792506.36"
"41",2227,"Médico Especialista","4151163.40"
"42",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","5456811.70"
"43",9155,"Ayudante de cocina","646880.15"
"44",2226,"Enfermeros profesionales","2213104.25"
"45",2226,"Enfermeros profesionales","1863213.10"
"46",1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","4712415.80"
"47",1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","4888348.00"
"48",5132,"Ayudantes de enfermería","688431.70"
"49",2449,"Otros profesionales en ciencias sociales","2535826.00"
"50",2221,"Médicos generales y especialistas","4076674.90"
"51",8229,"Otros operadores de máquinas para fabricar productos químicos","553417.30"
"52",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","7047696.70"
"53",5132,"Ayudantes de enfermería","898845.00"
"54",9331,"Conductores de vehículos accionados a pedal o a brazo","73163.98"
"55",2227,"Médico Especialista","4529259.10"
"56",2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","2959281.52"
"57",7125,"Encargado de Mantenimiento de Edificios","796390.00"
"58",2227,"Médico Especialista","3678235.30"
"59",2227,"Médico Especialista","6009049.60"
"60",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4337169.60"
"61",2445,"Psicólogos","2988600.40"
"62",2227,"Médico Especialista","4359702.12"
"63",2227,"Médico Especialista","2545328.40"
"64",2227,"Médico Especialista","231353.73"
"65",1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","3710317.80"
"66",2227,"Médico Especialista","7918063.14"
"67",5132,"Ayudantes de enfermería","1061072.40"
"68",2227,"Médico Especialista","4618731.30"
"69",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","3577484.80"
"70",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","10432028.58"
"71",3229,"Otros técnicos de las ciencias de la salud","833000.00"
"72",5132,"Ayudantes de enfermería","926412.95"
"73",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","13918765.62"
"74",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4154647.90"
"75",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","4335011.30"
"76",2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","2336205.81"
"77",9152,"Guardianes y porteros ","745715.45"
"78",2222,"Odontólogos","4034808.20"
"79",2222,"Odontólogos","3746663.20"
"80",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2402462.70"
"81",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2389526.00"
"82",3229,"Otros técnicos de las ciencias de la salud","1410732.20"
"83",2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","3317153.70"
"84",2227,"Médico Especialista","6130065.45"
"85",2227,"Médico Especialista","4033760.40"
"86",2226,"Enfermeros profesionales","333293.80"
"87",2226,"Enfermeros profesionales","1905080.80"
"88",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","17529729.11"
"89",1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","3750456.70"
"90",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","8280456.50"
"91",3229,"Otros técnicos de las ciencias de la salud","718760.00"
"92",8315,"Maquinistas de locomotoras, guardafrenos, guardagujas y agentes de maniobras","1119145.56"
"93",9151,"Mensajeros, ascensoristas, botones, maleteros, caddies y repartidores","290923.92"
"94",2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","4129947.20"
"95",2224,"Farmacéuticos","4276256.00"
"96",2221,"Médicos generales y especialistas","6403042.05"
"97",2227,"Médico Especialista","6494251.35"
"98",2227,"Médico Especialista","3920888.40"
"99",2227,"Médico Especialista","5629839.29"
"100",2224,"Farmacéuticos","3863752.11"
"101",1122,"Gerentes y subgerentes generales, directores y subdirectores generales y coordinadores generales de instituciones públicas y de empresas privadas","921772.50"
"102",4131,"Empleados de control de abastecimiento e inventario","1038760.35"
"103",2449,"Otros profesionales en ciencias sociales","1565527.50"
"104",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","7806362.98"
"105",3419,"Otros técnicos en administración y en economía","1631822.00"
"106",3122,"Técnicos y asistentes en estadística y demografía","753360.00"
"107",7125,"Encargado de Mantenimiento de Edificios","741340.00"
"108",8229,"Otros operadores de máquinas para fabricar productos químicos","966929.80"
"109",2227,"Médico Especialista","11307548.50"
"110",2226,"Enfermeros profesionales","2632565.30"
"111",2221,"Médicos generales y especialistas","7107784.40"
